symboling,wheel-base,length,width,curb-weight,engine-size,bore,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,horsepower-binned,cylinders_identity
1,93.7,0.7208073041806824,0.8888888888888888,1956,92,2.91,76,6000.0,7129,7.833333333333333,6.911764705882353,low,1
0,96.5,0.7851994233541567,0.8888888888888888,2010,92,2.91,76,6000.0,7295,7.833333333333333,6.911764705882353,low,1
0,96.5,0.754925516578568,0.8875,2024,92,2.92,76,6000.0,7295,7.833333333333333,6.911764705882353,low,1
0,96.5,0.8049014896684287,0.9055555555555556,2236,110,3.15,86,5800.0,7895,8.703703703703704,7.121212121212121,low,1
0,96.5,0.8049014896684287,0.9055555555555556,2289,110,3.15,86,5800.0,9095,8.703703703703704,7.121212121212121,low,1
0,96.5,0.8428640076886112,0.9055555555555556,2304,110,3.15,86,5800.0,8845,8.703703703703704,7.121212121212121,low,1
0,96.5,0.8428640076886112,0.8680555555555556,2372,110,3.15,86,5800.0,10295,8.703703703703704,7.121212121212121,low,1
0,96.5,0.8428640076886112,0.9055555555555556,2465,110,3.15,101,5800.0,12945,9.791666666666666,8.392857142857142,low,1
1,96.5,0.8125901009130225,0.9166666666666666,2293,110,3.15,100,5500.0,10345,9.4,7.580645161290323,low,1
0,94.3,0.8202787121576165,0.8583333333333333,2337,111,3.31,78,4800.0,6785,9.791666666666666,8.10344827586207,low,1
2,96.0,0.8294089380105718,0.9055555555555556,2734,119,3.43,90,5000.0,11048,9.791666666666666,8.10344827586207,low,1
0,113.0,0.9591542527630946,0.9666666666666666,4066,258,3.63,176,4750.0,32250,15.666666666666666,12.368421052631579,medium,2
0,113.0,0.9591542527630946,0.9666666666666666,4066,258,3.63,176,4750.0,35550,15.666666666666666,12.368421052631579,medium,2
0,102.0,0.921191734742912,0.9805555555555555,3950,326,3.54,262,5000.0,36000,18.076923076923077,13.823529411764707,high,5
1,93.1,0.7645362806343105,0.8916666666666667,1890,91,3.03,68,5000.0,5195,7.833333333333333,7.580645161290323,low,1
1,93.1,0.7645362806343105,0.8916666666666667,1900,91,3.03,68,5000.0,6095,7.580645161290323,6.184210526315789,low,1
1,93.1,0.7645362806343105,0.8916666666666667,1905,91,3.03,68,5000.0,6795,7.580645161290323,6.184210526315789,low,1
1,93.1,0.8015377222489188,0.8916666666666667,1945,91,3.03,68,5000.0,6695,7.580645161290323,6.184210526315789,low,1
1,93.1,0.8015377222489188,0.8916666666666667,1950,91,3.08,68,5000.0,7395,7.580645161290323,6.184210526315789,low,1
3,95.3,0.8121095627102355,0.9125000000000001,2380,70,3.330710659898477,101,6000.0,10945,13.823529411764707,10.217391304347826,low,6
3,95.3,0.8121095627102355,0.9125000000000001,2380,70,3.330710659898477,101,6000.0,11845,13.823529411764707,10.217391304347826,low,6
3,95.3,0.8121095627102355,0.9125000000000001,2385,70,3.330710659898477,101,6000.0,13645,13.823529411764707,10.217391304347826,low,6
3,95.3,0.8121095627102355,0.9125000000000001,2500,80,3.330710659898477,135,6000.0,15645,14.6875,10.217391304347826,medium,6
1,98.8,0.8543969245555022,0.9236111111111112,2385,122,3.39,84,4800.0,8845,9.038461538461538,7.34375,low,1
0,98.8,0.8543969245555022,0.9236111111111112,2410,122,3.39,84,4800.0,8495,9.038461538461538,7.34375,low,1
1,98.8,0.8543969245555022,0.9236111111111112,2385,122,3.39,84,4800.0,10595,9.038461538461538,7.34375,low,1
0,98.8,0.8543969245555022,0.9236111111111112,2410,122,3.39,84,4800.0,10245,9.038461538461538,7.34375,low,1
0,98.8,0.8543969245555022,0.9236111111111112,2443,122,3.39,64,4650.0,10795,6.527777777777778,5.595238095238095,low,1
0,98.8,0.8543969245555022,0.9236111111111112,2425,122,3.39,84,4800.0,11245,9.038461538461538,7.34375,low,1
0,104.9,0.8409418548774628,0.9180555555555555,2670,140,3.76,120,5000.0,18280,12.368421052631579,8.703703703703704,medium,1
0,104.9,0.8409418548774628,0.9180555555555555,2700,134,3.43,72,4200.0,18344,7.580645161290323,6.0256410256410255,low,1
-1,110.0,0.9173474291206152,0.9763888888888889,3515,183,3.58,123,4350.0,25552,10.681818181818182,9.4,medium,3
-1,110.0,0.9173474291206152,0.9763888888888889,3750,183,3.58,123,4350.0,28248,10.681818181818182,9.4,medium,3
0,106.7,0.9010091302258529,0.9763888888888889,3495,183,3.58,123,4350.0,28176,10.681818181818182,9.4,medium,3
-1,115.6,0.9735703988467083,0.9958333333333333,3770,183,3.58,123,4350.0,31600,10.681818181818182,9.4,medium,3
-1,115.6,0.9735703988467083,0.9958333333333333,3740,234,3.46,155,4750.0,34184,14.6875,13.055555555555555,medium,7
3,96.6,0.8664103796251803,0.9791666666666666,3685,234,3.46,155,4750.0,35056,14.6875,13.055555555555555,medium,7
0,120.9,1.0,0.9958333333333333,3900,308,3.8,184,4500.0,40960,16.785714285714285,14.6875,medium,7
1,112.0,0.9572320999519461,1.0,3715,304,3.8,184,4500.0,45400,16.785714285714285,14.6875,medium,7
1,102.7,0.857280153772225,0.9444444444444444,2910,140,3.78,175,5000.0,16503,12.368421052631579,9.791666666666666,medium,1
2,93.7,0.7558865929841423,0.8944444444444445,1918,92,2.97,68,5500.0,5389,6.351351351351352,5.7317073170731705,low,1
2,93.7,0.7558865929841423,0.8944444444444445,1944,92,2.97,68,5500.0,6189,7.580645161290323,6.184210526315789,low,1
2,93.7,0.7558865929841423,0.8944444444444445,2004,92,2.97,68,5500.0,6669,7.580645161290323,6.184210526315789,low,1
1,93.0,0.7558865929841423,0.8861111111111111,2145,98,3.03,102,5500.0,7689,9.791666666666666,7.833333333333333,low,1
3,96.3,0.8313310908217203,0.9083333333333334,2370,110,3.17,116,5500.0,9959,10.217391304347826,7.833333333333333,low,1
3,96.3,0.8313310908217203,0.9083333333333334,2328,122,3.35,88,5000.0,8499,9.4,7.34375,low,1
3,95.9,0.8322921672272945,0.9208333333333333,2833,156,3.58,145,5000.0,12629,12.368421052631579,9.791666666666666,medium,1
3,95.9,0.8322921672272945,0.9208333333333333,2921,156,3.59,145,5000.0,14869,12.368421052631579,9.791666666666666,medium,1
3,95.9,0.8322921672272945,0.9208333333333333,2926,156,3.59,145,5000.0,14489,12.368421052631579,9.791666666666666,medium,1
1,96.3,0.8284478616049976,0.9083333333333334,2365,122,3.35,88,5000.0,6989,9.4,7.34375,low,1
1,96.3,0.8284478616049976,0.9083333333333334,2405,122,3.35,88,5000.0,8189,9.4,7.34375,low,1
1,96.3,0.8284478616049976,0.9083333333333334,2403,110,3.17,116,5500.0,9279,10.217391304347826,7.833333333333333,low,1
-1,96.3,0.8284478616049976,0.9083333333333334,2403,110,3.17,116,5500.0,9279,10.217391304347826,7.833333333333333,low,1
1,94.5,0.794329649207112,0.8861111111111111,1889,97,3.15,69,5200.0,5499,7.580645161290323,6.351351351351352,low,1
1,94.5,0.794329649207112,0.8861111111111111,2017,103,2.99,55,4800.0,7099,5.222222222222222,4.7,low,1
1,94.5,0.794329649207112,0.8861111111111111,1918,97,3.15,69,5200.0,6649,7.580645161290323,6.351351351351352,low,1
1,94.5,0.794329649207112,0.8861111111111111,1938,97,3.15,69,5200.0,6849,7.580645161290323,6.351351351351352,low,1
1,94.5,0.8178760211436809,0.8861111111111111,2024,97,3.15,69,5200.0,7349,7.580645161290323,6.351351351351352,low,1
1,94.5,0.794329649207112,0.8861111111111111,1951,97,3.15,69,5200.0,7299,7.580645161290323,6.351351351351352,low,1
1,94.5,0.7957712638154734,0.8861111111111111,2028,97,3.15,69,5200.0,7799,7.580645161290323,6.351351351351352,low,1
1,94.5,0.794329649207112,0.8861111111111111,1971,97,3.15,69,5200.0,7499,7.580645161290323,6.351351351351352,low,1
1,94.5,0.8178760211436809,0.8861111111111111,2037,97,3.15,69,5200.0,7999,7.580645161290323,6.351351351351352,low,1
2,95.1,0.7803940413262855,0.8861111111111111,2008,97,3.15,69,5200.0,8249,7.580645161290323,6.351351351351352,low,1
0,97.2,0.8332532436328689,0.9055555555555556,2324,120,3.33,97,5200.0,8949,8.703703703703704,6.911764705882353,low,1
0,97.2,0.8332532436328689,0.9055555555555556,2302,120,3.33,97,5200.0,9549,8.703703703703704,6.911764705882353,low,1
0,100.4,0.8731379144641999,0.9236111111111112,3095,181,3.43,152,5200.0,13499,13.823529411764707,10.681818181818182,medium,2
0,100.4,0.8870735223450265,0.9236111111111112,3296,181,3.43,152,5200.0,14399,13.823529411764707,10.681818181818182,medium,2
0,100.4,0.8870735223450265,0.9236111111111112,3060,181,3.43,152,5200.0,13499,12.368421052631579,9.4,medium,2
3,91.3,0.8202787121576165,0.9430555555555556,3071,181,3.43,160,5200.0,17199,12.368421052631579,9.4,medium,2
3,91.3,0.8202787121576165,0.9430555555555556,3139,181,3.43,200,5200.0,19699,13.823529411764707,10.217391304347826,high,2
1,99.2,0.857760691975012,0.9430555555555556,3139,181,3.43,160,5200.0,18399,12.368421052631579,9.4,medium,2
0,107.9,0.897164824603556,0.9500000000000001,3020,120,3.46,97,5000.0,11900,12.368421052631579,9.791666666666666,low,1
0,107.9,0.897164824603556,0.9500000000000001,3197,152,3.7,95,4150.0,13200,8.392857142857142,7.121212121212121,low,1
0,114.2,0.9557904853435849,0.9500000000000001,3230,120,3.46,97,5000.0,12440,12.368421052631579,9.791666666666666,low,1
0,114.2,0.9557904853435849,0.9500000000000001,3430,152,3.7,95,4150.0,13860,9.4,9.4,low,1
0,107.9,0.897164824603556,0.9500000000000001,3075,120,3.46,95,5000.0,15580,12.368421052631579,9.791666666666666,low,1
0,107.9,0.897164824603556,0.9500000000000001,3252,152,3.7,95,4150.0,16900,8.392857142857142,7.121212121212121,low,1
0,114.2,0.9557904853435849,0.9500000000000001,3285,120,3.46,95,5000.0,16695,12.368421052631579,9.791666666666666,low,1
0,114.2,0.9557904853435849,0.9500000000000001,3485,152,3.7,95,4150.0,17075,9.4,9.4,low,1
0,107.9,0.897164824603556,0.9500000000000001,3075,120,3.46,97,5000.0,16630,12.368421052631579,9.791666666666666,low,1
0,107.9,0.897164824603556,0.9500000000000001,3252,152,3.7,95,4150.0,17950,8.392857142857142,7.121212121212121,low,1
0,108.0,0.897164824603556,0.9486111111111111,3130,134,3.61,142,5600.0,18150,13.055555555555555,9.791666666666666,medium,1
1,93.7,0.7558865929841423,0.8861111111111111,1918,90,2.97,68,5500.0,5572,6.351351351351352,5.7317073170731705,low,1
1,93.7,0.7558865929841423,0.8861111111111111,2128,98,3.03,102,5500.0,7957,9.791666666666666,7.833333333333333,low,1
1,93.7,0.7558865929841423,0.8861111111111111,1967,90,2.97,68,5500.0,6229,7.580645161290323,6.184210526315789,low,1
1,93.7,0.8039404132628545,0.8861111111111111,1989,90,2.97,68,5500.0,6692,7.580645161290323,6.184210526315789,low,1
1,93.7,0.8039404132628545,0.8861111111111111,2191,98,2.97,68,5500.0,7609,7.580645161290323,6.184210526315789,low,1
-1,103.3,0.8390197020663143,0.8972222222222221,2535,122,3.35,88,5000.0,8921,9.791666666666666,7.833333333333333,low,1
3,95.9,0.8322921672272945,0.9208333333333333,2818,156,3.59,145,5000.0,12764,12.368421052631579,9.791666666666666,medium,1
3,94.5,0.8116290245074483,0.9486111111111111,2778,151,3.94,143,5500.0,22018,12.368421052631579,8.703703703703704,medium,1
3,89.5,0.8116290245074483,0.9027777777777778,2756,194,3.74,207,5900.0,32528,13.823529411764707,9.4,high,2
3,89.5,0.8116290245074483,0.9027777777777778,2756,194,3.74,207,5900.0,34028,13.823529411764707,9.4,high,2
3,89.5,0.8116290245074483,0.9027777777777778,2800,194,3.74,207,5900.0,37028,13.823529411764707,9.4,high,2
0,96.1,0.8721768380586257,0.9236111111111112,2579,132,3.46,103,5117.587939698493,9295,10.217391304347826,7.580645161290323,low,1
2,96.1,0.849591542527631,0.9249999999999999,2460,132,3.46,103,5117.587939698493,9895,10.217391304347826,7.580645161290323,low,1
3,99.1,0.8966842864007688,0.9236111111111112,2658,121,3.54,110,5250.0,11850,11.19047619047619,8.392857142857142,low,1
2,99.1,0.8966842864007688,0.9236111111111112,2695,121,3.54,110,5250.0,12170,11.19047619047619,8.392857142857142,low,1
3,99.1,0.8966842864007688,0.9236111111111112,2707,121,2.54,110,5250.0,15040,11.19047619047619,8.392857142857142,low,1
2,99.1,0.8966842864007688,0.9236111111111112,2758,121,3.54,110,5250.0,15510,11.19047619047619,8.392857142857142,low,1
3,99.1,0.8966842864007688,0.9236111111111112,2808,121,3.54,160,5500.0,18150,12.368421052631579,9.038461538461538,medium,1
2,99.1,0.8966842864007688,0.9236111111111112,2847,121,3.54,160,5500.0,18620,12.368421052631579,9.038461538461538,medium,1
2,93.7,0.7539644401729938,0.8805555555555555,2050,97,3.62,69,4900.0,5118,7.580645161290323,6.527777777777778,low,1
2,93.7,0.758769822200865,0.8833333333333333,2120,108,3.62,73,4400.0,7053,9.038461538461538,7.580645161290323,low,1
2,93.3,0.7558865929841423,0.8861111111111111,2240,108,3.62,73,4400.0,7603,9.038461538461538,7.580645161290323,low,1
0,97.2,0.8265257087938491,0.9083333333333334,2145,108,3.62,82,4800.0,7126,7.34375,6.351351351351352,low,1
0,97.2,0.8265257087938491,0.9083333333333334,2190,108,3.62,82,4400.0,7775,8.392857142857142,7.121212121212121,low,1
0,97.2,0.8265257087938491,0.9083333333333334,2340,108,3.62,94,5200.0,9960,9.038461538461538,7.34375,low,1
0,97.0,0.8265257087938491,0.9083333333333334,2385,108,3.62,82,4800.0,9233,9.791666666666666,9.4,low,1
0,97.0,0.8265257087938491,0.9083333333333334,2510,108,3.62,111,4800.0,11259,9.791666666666666,8.10344827586207,low,1
0,97.0,0.8337337818356559,0.9083333333333334,2290,108,3.62,82,4800.0,7463,8.392857142857142,7.34375,low,1
0,97.0,0.8337337818356559,0.9083333333333334,2455,108,3.62,94,5200.0,10198,9.4,7.580645161290323,low,1
0,96.9,0.8342143200384431,0.9083333333333334,2420,108,3.62,82,4800.0,8013,10.217391304347826,8.10344827586207,low,1
0,96.9,0.8342143200384431,0.9083333333333334,2650,108,3.62,111,4800.0,11694,10.217391304347826,10.217391304347826,low,1
1,95.7,0.762614127823162,0.8833333333333333,1985,92,3.05,62,4800.0,5348,6.714285714285714,6.0256410256410255,low,1
1,95.7,0.762614127823162,0.8833333333333333,2040,92,3.05,62,4800.0,6338,7.580645161290323,6.184210526315789,low,1
1,95.7,0.762614127823162,0.8833333333333333,2015,92,3.05,62,4800.0,6488,7.580645161290323,6.184210526315789,low,1
0,95.7,0.8154733301297453,0.8833333333333333,2280,92,3.05,62,4800.0,6918,7.580645161290323,6.351351351351352,low,1
0,95.7,0.8154733301297453,0.8833333333333333,2290,92,3.05,62,4800.0,7898,8.703703703703704,7.34375,low,1
0,95.7,0.8154733301297453,0.8833333333333333,3110,92,3.05,62,4800.0,8778,8.703703703703704,7.34375,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2081,98,3.19,70,4800.0,6938,7.833333333333333,6.351351351351352,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2109,98,3.19,70,4800.0,7198,7.833333333333333,6.351351351351352,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2275,110,3.27,56,4500.0,7898,6.911764705882353,6.527777777777778,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2275,110,3.27,56,4500.0,7788,6.184210526315789,5.0,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2094,98,3.19,70,4800.0,7738,6.184210526315789,5.0,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2122,98,3.19,70,4800.0,8358,8.392857142857142,6.911764705882353,low,1
0,95.7,0.7991350312349833,0.8944444444444445,2140,98,3.19,70,4800.0,9258,8.392857142857142,6.911764705882353,low,1
1,94.5,0.810667948101874,0.8888888888888888,2169,98,3.19,70,4800.0,8058,8.10344827586207,6.911764705882353,low,1
1,94.5,0.810667948101874,0.8888888888888888,2204,98,3.19,70,4800.0,8238,8.10344827586207,6.911764705882353,low,1
1,94.5,0.810667948101874,0.8888888888888888,2265,98,3.24,112,6600.0,9298,9.038461538461538,8.10344827586207,low,1
1,94.5,0.810667948101874,0.8888888888888888,2300,98,3.24,112,6600.0,9538,9.038461538461538,8.10344827586207,low,1
2,98.4,0.8467083133109082,0.911111111111111,2540,146,3.62,116,4800.0,8449,9.791666666666666,7.833333333333333,low,1
2,98.4,0.8467083133109082,0.911111111111111,2536,146,3.62,116,4800.0,9639,9.791666666666666,7.833333333333333,low,1
2,98.4,0.8467083133109082,0.911111111111111,2551,146,3.62,116,4800.0,9989,9.791666666666666,7.833333333333333,low,1
2,98.4,0.8467083133109082,0.911111111111111,2679,146,3.62,116,4800.0,11199,9.791666666666666,7.833333333333333,low,1
2,98.4,0.8467083133109082,0.911111111111111,2714,146,3.62,116,4800.0,11549,9.791666666666666,7.833333333333333,low,1
2,98.4,0.8467083133109082,0.911111111111111,2975,146,3.62,116,4800.0,17669,9.791666666666666,7.833333333333333,low,1
-1,102.4,0.8438250840941854,0.9236111111111112,2326,122,3.31,92,4200.0,8948,8.10344827586207,6.911764705882353,low,1
-1,102.4,0.8438250840941854,0.9236111111111112,2480,110,3.27,73,4500.0,10698,7.833333333333333,7.121212121212121,low,1
-1,102.4,0.8438250840941854,0.9236111111111112,2414,122,3.31,92,4200.0,9988,8.703703703703704,7.34375,low,1
-1,102.4,0.8438250840941854,0.9236111111111112,2414,122,3.31,92,4200.0,10898,8.703703703703704,7.34375,low,1
-1,102.4,0.8438250840941854,0.9236111111111112,2458,122,3.31,92,4200.0,11248,8.703703703703704,7.34375,low,1
3,102.9,0.8817876021143681,0.9402777777777778,2976,171,3.27,161,5200.0,16558,11.75,9.791666666666666,medium,2
3,102.9,0.8817876021143681,0.9402777777777778,3016,171,3.27,161,5200.0,15998,12.368421052631579,9.791666666666666,medium,2
-1,104.5,0.9024507448342144,0.9236111111111112,3131,171,3.27,156,5200.0,15690,11.75,9.791666666666666,medium,2
-1,104.5,0.9024507448342144,0.9236111111111112,3151,161,3.27,156,5200.0,15750,12.368421052631579,9.791666666666666,medium,2
2,97.3,0.8250840941854877,0.9097222222222222,2261,97,3.01,52,4800.0,7775,6.351351351351352,5.108695652173913,low,1
2,97.3,0.8250840941854877,0.9097222222222222,2209,109,3.19,85,5250.0,7975,8.703703703703704,6.911764705882353,low,1
2,97.3,0.8250840941854877,0.9097222222222222,2264,97,3.01,52,4800.0,7995,6.351351351351352,5.108695652173913,low,1
2,97.3,0.8250840941854877,0.9097222222222222,2212,109,3.19,85,5250.0,8195,8.703703703703704,6.911764705882353,low,1
2,97.3,0.8250840941854877,0.9097222222222222,2275,109,3.19,85,5250.0,8495,8.703703703703704,6.911764705882353,low,1
2,97.3,0.8250840941854877,0.9097222222222222,2319,97,3.01,68,4500.0,9495,6.351351351351352,5.595238095238095,low,1
2,97.3,0.8250840941854877,0.9097222222222222,2300,109,3.19,100,5500.0,9995,9.038461538461538,7.34375,low,1
3,94.5,0.7654973570398848,0.8916666666666667,2254,109,3.19,90,5500.0,11595,9.791666666666666,8.10344827586207,low,1
3,94.5,0.7962518020182604,0.8888888888888888,2221,109,3.19,90,5500.0,9980,9.791666666666666,8.10344827586207,low,1
0,100.4,0.865929841422393,0.9291666666666667,2661,136,3.19,110,5500.0,13295,12.368421052631579,9.791666666666666,low,3
0,100.4,0.865929841422393,0.9291666666666667,2579,97,3.01,68,4500.0,13845,7.121212121212121,6.184210526315789,low,1
0,100.4,0.8798654493032196,0.9291666666666667,2563,109,3.19,88,5500.0,12290,9.4,7.580645161290323,low,1
-2,104.3,0.9072561268620856,0.9333333333333333,2912,141,3.78,114,5400.0,12940,10.217391304347826,8.392857142857142,low,1
-1,104.3,0.9072561268620856,0.9333333333333333,3034,141,3.78,114,5400.0,13415,10.217391304347826,8.392857142857142,low,1
-2,104.3,0.9072561268620856,0.9333333333333333,2935,141,3.78,114,5400.0,15985,9.791666666666666,8.392857142857142,low,1
-1,104.3,0.9072561268620856,0.9333333333333333,3042,141,3.78,114,5400.0,16515,9.791666666666666,8.392857142857142,low,1
-2,104.3,0.9072561268620856,0.9333333333333333,3045,130,3.62,162,5100.0,18420,13.823529411764707,10.681818181818182,medium,1
-1,104.3,0.9072561268620856,0.9333333333333333,3157,130,3.62,162,5100.0,18950,13.823529411764707,10.681818181818182,medium,1
-1,109.1,0.9072561268620856,0.9569444444444445,2952,141,3.78,114,5400.0,16845,10.217391304347826,8.392857142857142,low,1
-1,109.1,0.9072561268620856,0.9555555555555555,3049,141,3.78,160,5300.0,19045,12.368421052631579,9.4,medium,1
-1,109.1,0.9072561268620856,0.9569444444444445,3012,173,3.58,134,5500.0,21485,13.055555555555555,10.217391304347826,medium,2
-1,109.1,0.9072561268620856,0.9569444444444445,3217,145,3.01,106,4800.0,22470,9.038461538461538,8.703703703703704,low,2
-1,109.1,0.9072561268620856,0.9569444444444445,3062,141,3.78,114,5400.0,22625,12.368421052631579,9.4,low,1
